City,State,ISO,Population,Current_Power_Usage_MW,Power_Usage_per_Capita_kW,Is_Hub,Avg_LMP_USD_per_MWh,LMP_Volatility,High_Price_Days,Elec_Rate_Change_Pct
Los Angeles,CA,CAISO,3900000,6039.67,1.5486,1,31.22,5,2,0.06358
Detroit,MI,MISO,640000,843.44,1.3179,0,41.17,5,2,0.04025
Providence,RI,ISONE,190000,249.97,1.3156,0,27.66,5,1,0.02886
Houston,TX,ERCOT,2300000,3651.95,1.5878,0,34.07,5,1,0.03543
Providence,RI,ISONE,190000,253.38,1.3336,0,44.55,5,2,0.04426
Indianapolis,IN,MISO,890000,1287.67,1.4468,0,51.19,5,3,0.04989
Cleveland,OH,PJM,370000,520.1,1.4057,0,40.0,5,2,0.03994
Cleveland,OH,PJM,370000,524.9,1.4186,0,32.16,5,2,0.04398
Ashburn,VA,PJM,50000,73.49,1.4698,1,37.02,5,2,0.06008
Providence,RI,ISONE,190000,284.55,1.4976,0,23.09,5,1,0.02542
Ashburn,VA,PJM,50000,75.25,1.5049,1,41.56,5,2,0.05789
Des Moines,IA,MISO,215000,304.05,1.4142,1,39.98,5,2,0.05985
Philadelphia,PA,PJM,1600000,2333.31,1.4583,0,30.75,5,2,0.03784
Philadelphia,PA,PJM,1600000,2290.35,1.4315,0,47.32,5,3,0.0506
Sacramento,CA,CAISO,525000,745.54,1.4201,0,45.81,5,2,0.04958
Los Angeles,CA,CAISO,3900000,6476.49,1.6606,1,43.78,5,3,0.06192
Boston,MA,ISONE,675000,1011.45,1.4984,1,38.51,5,2,0.05716
Cleveland,OH,PJM,370000,563.59,1.5232,0,60.96,5,3,0.05065
Austin,TX,ERCOT,970000,1417.43,1.4613,0,65.42,5,4,0.05901
Providence,RI,ISONE,190000,267.27,1.4067,0,38.1,5,2,0.04068
Providence,RI,ISONE,190000,282.22,1.4854,0,46.67,5,3,0.04412
Cleveland,OH,PJM,370000,581.39,1.5713,0,58.28,5,3,0.05186
Richmond,VA,PJM,230000,305.86,1.3298,0,65.41,5,4,0.05437
Minneapolis,MN,MISO,430000,564.19,1.3121,1,37.25,5,2,0.06405
Cleveland,OH,PJM,370000,484.61,1.3098,0,29.04,5,1,0.03271
Philadelphia,PA,PJM,1600000,2505.84,1.5662,0,44.4,5,3,0.04716
Minneapolis,MN,MISO,430000,597.58,1.3897,1,38.31,5,2,0.05497
Cleveland,OH,PJM,370000,580.73,1.5695,0,49.52,5,3,0.04748
Indianapolis,IN,MISO,890000,1173.39,1.3184,0,24.78,5,1,0.03234
Detroit,MI,MISO,640000,857.92,1.3405,0,34.51,5,2,0.03807
Detroit,MI,MISO,640000,931.09,1.4548,0,25.84,5,2,0.04498
Detroit,MI,MISO,640000,845.38,1.3209,0,26.91,5,2,0.03625
Austin,TX,ERCOT,970000,1387.0,1.4299,0,36.26,5,2,0.04252
San Diego,CA,CAISO,1400000,2272.06,1.6229,0,25.1,5,1,0.03208
Houston,TX,ERCOT,2300000,3511.36,1.5267,0,50.15,5,3,0.04688
Boston,MA,ISONE,675000,972.54,1.4408,1,43.29,5,3,0.06531
Detroit,MI,MISO,640000,856.44,1.3382,0,50.38,5,3,0.05121
Richmond,VA,PJM,230000,300.07,1.3046,0,37.55,5,2,0.04068
Baltimore,MD,PJM,580000,823.36,1.4196,0,33.22,5,1,0.03624
Detroit,MI,MISO,640000,856.46,1.3382,0,24.8,5,1,0.03137
Providence,RI,ISONE,190000,248.54,1.3081,0,27.6,5,2,0.03537
Philadelphia,PA,PJM,1600000,2198.69,1.3742,0,57.58,5,3,0.05367
Manassas,VA,PJM,42000,62.36,1.4848,1,40.61,5,2,0.05718
Detroit,MI,MISO,640000,866.0,1.3531,0,35.61,5,2,0.04396
Sacramento,CA,CAISO,525000,875.92,1.6684,0,55.41,5,3,0.05568
Minneapolis,MN,MISO,430000,616.56,1.4339,1,32.58,5,2,0.04922
Detroit,MI,MISO,640000,945.29,1.477,0,33.5,5,1,0.03984
Houston,TX,ERCOT,2300000,3882.55,1.6881,0,56.01,5,3,0.05281
Detroit,MI,MISO,640000,934.51,1.4602,0,56.4,5,3,0.05568
Houston,TX,ERCOT,2300000,3593.25,1.5623,0,47.36,5,3,0.05104
Detroit,MI,MISO,640000,856.59,1.3384,0,45.62,5,3,0.04951
San Antonio,TX,ERCOT,1450000,2215.9,1.5282,1,42.24,5,2,0.05744
Philadelphia,PA,PJM,1600000,2347.99,1.4675,0,56.21,5,3,0.05058
Austin,TX,ERCOT,970000,1388.66,1.4316,0,45.05,5,2,0.04476
Ashburn,VA,PJM,50000,76.16,1.5231,1,38.27,5,2,0.06385
Dallas,TX,ERCOT,1300000,1978.11,1.5216,1,44.02,5,3,0.06325
Providence,RI,ISONE,190000,274.99,1.4473,0,48.63,5,2,0.05132
Boston,MA,ISONE,675000,934.93,1.3851,1,45.17,5,2,0.05985
Sacramento,CA,CAISO,525000,782.61,1.4907,0,20.0,5,1,0.03338
Hartford,CT,ISONE,120000,177.67,1.4806,0,22.83,5,1,0.032
Houston,TX,ERCOT,2300000,3233.24,1.4058,0,30.63,5,2,0.03769
Hartford,CT,ISONE,120000,178.58,1.4882,0,36.43,5,2,0.03532
Richmond,VA,PJM,230000,357.47,1.5542,0,44.63,5,3,0.04522
Sacramento,CA,CAISO,525000,852.33,1.6235,0,38.43,5,2,0.03962
San Diego,CA,CAISO,1400000,2138.06,1.5272,0,40.93,5,2,0.04555
Manassas,VA,PJM,42000,55.66,1.3253,1,36.64,5,2,0.05935
Austin,TX,ERCOT,970000,1511.5,1.5582,0,41.35,5,2,0.04095
Indianapolis,IN,MISO,890000,1328.39,1.4926,0,27.96,5,1,0.03187
Austin,TX,ERCOT,970000,1458.44,1.5035,0,37.4,5,2,0.03568
Baltimore,MD,PJM,580000,795.31,1.3712,0,43.62,5,2,0.04137
Indianapolis,IN,MISO,890000,1200.88,1.3493,0,44.77,5,2,0.04411
Richmond,VA,PJM,230000,339.89,1.4778,0,32.8,5,2,0.04263
Cleveland,OH,PJM,370000,564.71,1.5262,0,36.38,5,2,0.03845
Richmond,VA,PJM,230000,334.63,1.4549,0,31.56,5,2,0.0428
Philadelphia,PA,PJM,1600000,2127.59,1.3297,0,38.71,5,2,0.03774
Philadelphia,PA,PJM,1600000,2504.81,1.5655,0,38.44,5,2,0.03917
Austin,TX,ERCOT,970000,1629.93,1.6803,0,28.53,5,1,0.03269
Detroit,MI,MISO,640000,912.21,1.4253,0,36.14,5,2,0.03899
Baltimore,MD,PJM,580000,793.86,1.3687,0,49.13,5,3,0.04295
Baltimore,MD,PJM,580000,854.44,1.4732,0,48.95,5,3,0.04338
Indianapolis,IN,MISO,890000,1327.23,1.4913,0,46.01,5,3,0.05115
Sacramento,CA,CAISO,525000,892.35,1.6997,0,39.46,5,2,0.04158
Houston,TX,ERCOT,2300000,3498.48,1.5211,0,46.36,5,3,0.04385
Indianapolis,IN,MISO,890000,1187.54,1.3343,0,28.54,5,1,0.03468
Detroit,MI,MISO,640000,903.86,1.4123,0,48.51,5,3,0.04988
Los Angeles,CA,CAISO,3900000,5690.59,1.4591,1,54.56,5,3,0.06255
Providence,RI,ISONE,190000,280.79,1.4778,0,67.03,5,4,0.05831
Providence,RI,ISONE,190000,276.8,1.4568,0,47.39,5,3,0.04703
San Antonio,TX,ERCOT,1450000,2166.61,1.4942,1,40.19,5,2,0.06207
Austin,TX,ERCOT,970000,1476.45,1.5221,0,46.53,5,3,0.04795
Philadelphia,PA,PJM,1600000,2511.8,1.5699,0,54.42,5,3,0.05022
San Diego,CA,CAISO,1400000,2218.06,1.5843,0,35.66,5,2,0.04004
Philadelphia,PA,PJM,1600000,2140.28,1.3377,0,34.13,5,2,0.03955
Cleveland,OH,PJM,370000,501.99,1.3567,0,32.32,5,1,0.03498
Houston,TX,ERCOT,2300000,3232.99,1.4056,0,37.74,5,2,0.04415
Boston,MA,ISONE,675000,941.4,1.3947,1,44.77,5,2,0.06166
Detroit,MI,MISO,640000,867.72,1.3558,0,42.38,5,2,0.04277
Manassas,VA,PJM,42000,62.93,1.4983,1,39.26,5,2,0.05887
Indianapolis,IN,MISO,890000,1262.6,1.4186,0,20.68,5,1,0.0324
San Diego,CA,CAISO,1400000,2341.03,1.6722,0,35.67,5,1,0.03955
Providence,RI,ISONE,190000,264.75,1.3934,0,42.9,5,2,0.04895
Cleveland,OH,PJM,370000,591.97,1.5999,0,27.62,5,2,0.03855
San Diego,CA,CAISO,1400000,2257.36,1.6124,0,32.93,5,2,0.03656
Hartford,CT,ISONE,120000,172.37,1.4364,0,37.1,5,2,0.04136
Minneapolis,MN,MISO,430000,559.74,1.3017,1,30.56,5,1,0.05614
Hartford,CT,ISONE,120000,169.94,1.4161,0,30.14,5,2,0.03961
Cleveland,OH,PJM,370000,539.6,1.4584,0,40.74,5,2,0.04337
Sacramento,CA,CAISO,525000,864.19,1.6461,0,33.3,5,2,0.03469
San Diego,CA,CAISO,1400000,2082.38,1.4874,0,44.77,5,3,0.04486
Detroit,MI,MISO,640000,942.16,1.4721,0,28.99,5,1,0.03427
Detroit,MI,MISO,640000,935.71,1.4621,0,20.61,5,1,0.03023
Manassas,VA,PJM,42000,55.27,1.3159,1,39.85,5,3,0.06171
Des Moines,IA,MISO,215000,312.1,1.4516,1,42.41,5,2,0.06005
Detroit,MI,MISO,640000,924.35,1.4443,0,38.44,5,2,0.03994
Des Moines,IA,MISO,215000,310.01,1.4419,1,36.23,5,2,0.05412
Houston,TX,ERCOT,2300000,3409.77,1.4825,0,44.85,5,2,0.0415
Sacramento,CA,CAISO,525000,849.82,1.6187,0,32.72,5,2,0.03637
Dallas,TX,ERCOT,1300000,2177.2,1.6748,1,43.26,5,2,0.06015
Indianapolis,IN,MISO,890000,1198.85,1.347,0,42.79,5,3,0.04648
Houston,TX,ERCOT,2300000,3522.02,1.5313,0,29.94,5,1,0.03775
Richmond,VA,PJM,230000,308.58,1.3417,0,33.75,5,2,0.03804
Richmond,VA,PJM,230000,307.68,1.3377,0,41.15,5,3,0.04797
Minneapolis,MN,MISO,430000,580.15,1.3492,1,27.99,5,1,0.04567
Cleveland,OH,PJM,370000,485.65,1.3126,0,48.55,5,3,0.04635
Indianapolis,IN,MISO,890000,1244.18,1.398,0,38.81,5,1,0.03897
Cleveland,OH,PJM,370000,484.87,1.3105,0,34.3,5,2,0.04147
Boston,MA,ISONE,675000,993.34,1.4716,1,36.59,5,2,0.05893
Providence,RI,ISONE,190000,261.29,1.3752,0,34.15,5,2,0.03581
Houston,TX,ERCOT,2300000,3782.86,1.6447,0,70.11,5,4,0.06357
Minneapolis,MN,MISO,430000,563.29,1.31,1,37.51,5,2,0.05614
Indianapolis,IN,MISO,890000,1235.49,1.3882,0,38.2,5,2,0.03768
Providence,RI,ISONE,190000,262.48,1.3815,0,56.5,5,3,0.05044
Providence,RI,ISONE,190000,247.68,1.3036,0,40.17,5,2,0.04333
Baltimore,MD,PJM,580000,830.85,1.4325,0,37.99,5,2,0.0457
Philadelphia,PA,PJM,1600000,2489.26,1.5558,0,44.27,5,2,0.04122
Austin,TX,ERCOT,970000,1517.08,1.564,0,54.34,5,3,0.05345
Detroit,MI,MISO,640000,944.66,1.476,0,34.16,5,2,0.03627
Dallas,TX,ERCOT,1300000,2032.89,1.5638,1,36.83,5,2,0.05574
Richmond,VA,PJM,230000,326.03,1.4175,0,42.16,5,2,0.04651
San Antonio,TX,ERCOT,1450000,2214.37,1.5272,1,30.64,5,2,0.05323
Providence,RI,ISONE,190000,248.64,1.3086,0,46.5,5,3,0.04825
Richmond,VA,PJM,230000,313.03,1.361,0,38.27,5,2,0.04162
Sacramento,CA,CAISO,525000,849.93,1.6189,0,50.27,5,3,0.04925
Providence,RI,ISONE,190000,257.22,1.3538,0,46.31,5,3,0.0508
Providence,RI,ISONE,190000,273.99,1.4421,0,43.06,5,2,0.04039
Hartford,CT,ISONE,120000,161.03,1.3419,0,35.85,5,2,0.0369
Indianapolis,IN,MISO,890000,1280.57,1.4388,0,54.06,5,3,0.05477
San Antonio,TX,ERCOT,1450000,2034.99,1.4034,1,48.11,5,3,0.06473
Cleveland,OH,PJM,370000,482.63,1.3044,0,45.44,5,3,0.04409
Detroit,MI,MISO,640000,931.69,1.4558,0,52.02,5,3,0.04897
Providence,RI,ISONE,190000,262.37,1.3809,0,32.81,5,1,0.03895
Providence,RI,ISONE,190000,267.02,1.4054,0,23.65,5,1,0.03034
Minneapolis,MN,MISO,430000,591.69,1.376,1,39.75,5,2,0.06105
Des Moines,IA,MISO,215000,289.56,1.3468,1,50.99,5,3,0.06449
Des Moines,IA,MISO,215000,304.55,1.4165,1,39.93,5,2,0.05726
Cleveland,OH,PJM,370000,538.44,1.4553,0,20.0,5,1,0.02865
Dallas,TX,ERCOT,1300000,1985.18,1.5271,1,34.49,5,2,0.05857
Minneapolis,MN,MISO,430000,616.49,1.4337,1,34.11,5,2,0.05169
Philadelphia,PA,PJM,1600000,2316.63,1.4479,0,51.22,5,3,0.04562
Indianapolis,IN,MISO,890000,1163.46,1.3073,0,41.98,5,2,0.03793
Des Moines,IA,MISO,215000,282.87,1.3157,1,38.89,5,2,0.05745
Cleveland,OH,PJM,370000,570.99,1.5432,0,38.15,5,2,0.04305
Dallas,TX,ERCOT,1300000,1867.05,1.4362,1,36.57,5,2,0.05746
Minneapolis,MN,MISO,430000,590.98,1.3744,1,48.28,5,3,0.06344
Santa Clara,CA,CAISO,130000,214.35,1.6488,1,37.26,5,2,0.06097
Ashburn,VA,PJM,50000,71.51,1.4302,1,40.9,5,2,0.06298
Baltimore,MD,PJM,580000,837.22,1.4435,0,33.25,5,2,0.03435
Providence,RI,ISONE,190000,249.56,1.3135,0,43.25,5,2,0.04112
Philadelphia,PA,PJM,1600000,2423.83,1.5149,0,43.82,5,3,0.04257
Philadelphia,PA,PJM,1600000,2156.46,1.3478,0,47.29,5,3,0.04746
Richmond,VA,PJM,230000,340.87,1.482,0,46.11,5,3,0.04893
Austin,TX,ERCOT,970000,1632.08,1.6826,0,51.21,5,3,0.04702
Des Moines,IA,MISO,215000,321.3,1.4944,1,42.68,5,2,0.05918
Des Moines,IA,MISO,215000,319.59,1.4864,1,41.13,5,2,0.05476
Cleveland,OH,PJM,370000,501.68,1.3559,0,50.83,5,3,0.04824
San Antonio,TX,ERCOT,1450000,2049.12,1.4132,1,39.85,5,2,0.05905
Santa Clara,CA,CAISO,130000,204.11,1.57,1,36.19,5,2,0.05866
Richmond,VA,PJM,230000,328.02,1.4262,0,30.94,5,1,0.03469
Indianapolis,IN,MISO,890000,1163.6,1.3074,0,32.6,5,1,0.03992
San Antonio,TX,ERCOT,1450000,2421.68,1.6701,1,31.95,5,2,0.04773
Austin,TX,ERCOT,970000,1413.55,1.4573,0,30.5,5,1,0.03279
Hartford,CT,ISONE,120000,168.11,1.4009,0,52.59,5,3,0.04873
Boston,MA,ISONE,675000,890.93,1.3199,1,40.75,5,3,0.05669
Cleveland,OH,PJM,370000,546.62,1.4774,0,39.63,5,2,0.04117
Indianapolis,IN,MISO,890000,1334.23,1.4991,0,34.37,5,2,0.039
Detroit,MI,MISO,640000,949.91,1.4842,0,28.22,5,2,0.03128
Minneapolis,MN,MISO,430000,616.52,1.4338,1,43.69,5,3,0.06547
Austin,TX,ERCOT,970000,1405.68,1.4492,0,38.5,5,2,0.04713
Boston,MA,ISONE,675000,900.87,1.3346,1,42.05,5,2,0.05965
Sacramento,CA,CAISO,525000,791.26,1.5072,0,45.7,5,3,0.04621
Dallas,TX,ERCOT,1300000,2063.42,1.5872,1,32.04,5,2,0.05021
Richmond,VA,PJM,230000,322.4,1.4017,0,39.67,5,2,0.03888
Dallas,TX,ERCOT,1300000,1823.92,1.403,1,41.68,5,2,0.05823
Philadelphia,PA,PJM,1600000,2190.87,1.3693,0,32.62,5,1,0.03629
Cleveland,OH,PJM,370000,589.23,1.5925,0,47.39,5,3,0.04733
Indianapolis,IN,MISO,890000,1267.25,1.4239,0,34.69,5,2,0.04013
Des Moines,IA,MISO,215000,292.15,1.3589,1,39.79,5,2,0.06082
Boston,MA,ISONE,675000,939.54,1.3919,1,35.4,5,2,0.05679
Cleveland,OH,PJM,370000,528.44,1.4282,0,49.94,5,3,0.05006
Detroit,MI,MISO,640000,920.64,1.4385,0,39.39,5,2,0.04211
San Diego,CA,CAISO,1400000,2329.42,1.6639,0,47.67,5,2,0.04356
Boston,MA,ISONE,675000,1001.81,1.4842,1,40.38,5,2,0.06037
Santa Clara,CA,CAISO,130000,203.49,1.5653,1,35.22,5,2,0.05878
Sacramento,CA,CAISO,525000,885.41,1.6865,0,34.82,5,2,0.03928
Santa Clara,CA,CAISO,130000,191.86,1.4759,1,37.0,5,2,0.06111
Indianapolis,IN,MISO,890000,1241.33,1.3948,0,23.73,5,1,0.03246
Boston,MA,ISONE,675000,920.39,1.3635,1,42.44,5,2,0.06143
Cleveland,OH,PJM,370000,484.92,1.3106,0,40.66,5,2,0.04209
Detroit,MI,MISO,640000,912.68,1.4261,0,51.85,5,3,0.05147
Houston,TX,ERCOT,2300000,3534.7,1.5368,0,35.91,5,2,0.04021
Cleveland,OH,PJM,370000,484.08,1.3083,0,43.92,5,2,0.04717
Philadelphia,PA,PJM,1600000,2375.12,1.4845,0,48.03,5,3,0.0545
Boston,MA,ISONE,675000,954.88,1.4146,1,33.72,5,2,0.05319
Houston,TX,ERCOT,2300000,3861.35,1.6788,0,36.32,5,2,0.03902
Los Angeles,CA,CAISO,3900000,6357.31,1.6301,1,32.5,5,2,0.05437
Baltimore,MD,PJM,580000,843.61,1.4545,0,33.09,5,2,0.04297
Hartford,CT,ISONE,120000,162.24,1.352,0,39.48,5,2,0.04036
San Diego,CA,CAISO,1400000,2342.78,1.6734,0,47.98,5,2,0.04256
San Antonio,TX,ERCOT,1450000,2277.9,1.571,1,40.73,5,2,0.05857
Richmond,VA,PJM,230000,312.79,1.36,0,21.59,5,1,0.03258
Richmond,VA,PJM,230000,329.57,1.4329,0,39.99,5,2,0.04174
Sacramento,CA,CAISO,525000,832.3,1.5853,0,45.6,5,2,0.04562
Austin,TX,ERCOT,970000,1620.4,1.6705,0,45.71,5,3,0.04587
Boston,MA,ISONE,675000,990.1,1.4668,1,36.5,5,2,0.06391
Baltimore,MD,PJM,580000,761.25,1.3125,0,33.82,5,2,0.04615
Philadelphia,PA,PJM,1600000,2526.44,1.579,0,42.92,5,3,0.04885
Providence,RI,ISONE,190000,269.2,1.4168,0,42.7,5,3,0.04193
Baltimore,MD,PJM,580000,761.8,1.3134,0,42.75,5,2,0.04121
Des Moines,IA,MISO,215000,302.69,1.4079,1,34.01,5,2,0.05521
Hartford,CT,ISONE,120000,172.12,1.4344,0,45.33,5,3,0.03904
Manassas,VA,PJM,42000,59.24,1.4105,1,44.17,5,2,0.06054
Houston,TX,ERCOT,2300000,3285.07,1.4283,0,31.32,5,2,0.03649
San Diego,CA,CAISO,1400000,2338.04,1.67,0,29.45,5,2,0.03986
Manassas,VA,PJM,42000,55.48,1.3209,1,29.23,5,1,0.05152
Richmond,VA,PJM,230000,312.38,1.3582,0,54.89,5,3,0.05197
Dallas,TX,ERCOT,1300000,1973.8,1.5183,1,43.98,5,2,0.06727
Los Angeles,CA,CAISO,3900000,5919.85,1.5179,1,40.55,5,2,0.06015
Hartford,CT,ISONE,120000,161.49,1.3458,0,32.8,5,1,0.03183
Dallas,TX,ERCOT,1300000,1864.38,1.4341,1,46.11,5,2,0.05632
San Diego,CA,CAISO,1400000,2016.07,1.44,0,43.87,5,2,0.04688
Sacramento,CA,CAISO,525000,856.68,1.6318,0,52.8,5,3,0.05055
Boston,MA,ISONE,675000,990.02,1.4667,1,24.48,5,1,0.05021
Indianapolis,IN,MISO,890000,1269.39,1.4263,0,37.19,5,2,0.03911
Detroit,MI,MISO,640000,927.2,1.4488,0,24.28,5,1,0.03506
Los Angeles,CA,CAISO,3900000,5592.56,1.434,1,42.3,5,2,0.06188
Cleveland,OH,PJM,370000,542.24,1.4655,0,53.7,5,3,0.05013
Richmond,VA,PJM,230000,339.35,1.4755,0,51.84,5,3,0.05076
Providence,RI,ISONE,190000,259.73,1.367,0,43.49,5,2,0.04333
Sacramento,CA,CAISO,525000,738.14,1.406,0,29.64,5,2,0.04059
Indianapolis,IN,MISO,890000,1225.5,1.377,0,59.29,5,4,0.05525
Sacramento,CA,CAISO,525000,842.49,1.6047,0,53.22,5,4,0.05535
Cleveland,OH,PJM,370000,514.49,1.3905,0,25.44,5,1,0.03571
Detroit,MI,MISO,640000,958.42,1.4975,0,54.19,5,3,0.05543
Cleveland,OH,PJM,370000,558.07,1.5083,0,22.59,5,1,0.03136
Manassas,VA,PJM,42000,60.53,1.4413,1,38.76,5,2,0.05721
Austin,TX,ERCOT,970000,1494.64,1.5409,0,31.62,5,1,0.03749
Baltimore,MD,PJM,580000,771.73,1.3306,0,49.65,5,3,0.05146
Indianapolis,IN,MISO,890000,1322.28,1.4857,0,33.48,5,2,0.03785
Philadelphia,PA,PJM,1600000,2413.66,1.5085,0,41.24,5,2,0.04051
Hartford,CT,ISONE,120000,161.54,1.3462,0,36.62,5,2,0.04532
Indianapolis,IN,MISO,890000,1333.95,1.4988,0,32.18,5,2,0.03862
Austin,TX,ERCOT,970000,1608.82,1.6586,0,39.61,5,2,0.03863
Houston,TX,ERCOT,2300000,3706.73,1.6116,0,27.74,5,1,0.03254
Sacramento,CA,CAISO,525000,834.93,1.5903,0,41.5,5,3,0.0447
Sacramento,CA,CAISO,525000,759.64,1.4469,0,40.97,5,2,0.04318
Indianapolis,IN,MISO,890000,1272.08,1.4293,0,49.06,5,3,0.04655
San Diego,CA,CAISO,1400000,2233.31,1.5952,0,26.78,5,1,0.03479
Indianapolis,IN,MISO,890000,1180.48,1.3264,0,36.76,5,2,0.03955
Indianapolis,IN,MISO,890000,1322.47,1.4859,0,30.58,5,1,0.03191
Minneapolis,MN,MISO,430000,564.39,1.3125,1,33.68,5,2,0.05406
San Diego,CA,CAISO,1400000,2368.03,1.6914,0,50.79,5,3,0.04927
Cleveland,OH,PJM,370000,502.13,1.3571,0,34.29,5,2,0.04075
Detroit,MI,MISO,640000,864.61,1.351,0,40.6,5,2,0.0442
Detroit,MI,MISO,640000,907.41,1.4178,0,52.38,5,3,0.05136
Providence,RI,ISONE,190000,247.12,1.3006,0,37.91,5,2,0.04273
Houston,TX,ERCOT,2300000,3750.85,1.6308,0,32.72,5,2,0.03828
Sacramento,CA,CAISO,525000,871.81,1.6606,0,53.28,5,3,0.05235
Ashburn,VA,PJM,50000,67.61,1.3522,1,39.11,5,2,0.0553
Des Moines,IA,MISO,215000,288.24,1.3406,1,44.76,5,2,0.05961
San Antonio,TX,ERCOT,1450000,2141.17,1.4767,1,39.18,5,2,0.05679
San Diego,CA,CAISO,1400000,2369.53,1.6925,0,55.92,5,3,0.05062
Indianapolis,IN,MISO,890000,1217.81,1.3683,0,35.81,5,2,0.04353
Houston,TX,ERCOT,2300000,3362.36,1.4619,0,37.25,5,3,0.04022
Santa Clara,CA,CAISO,130000,196.29,1.5099,1,38.44,5,2,0.05679
San Antonio,TX,ERCOT,1450000,2063.39,1.423,1,32.31,5,1,0.05575
San Antonio,TX,ERCOT,1450000,2234.46,1.541,1,34.31,5,2,0.06116
San Diego,CA,CAISO,1400000,2099.74,1.4998,0,48.25,5,3,0.04633
San Antonio,TX,ERCOT,1450000,2244.53,1.548,1,40.55,5,2,0.06283
Hartford,CT,ISONE,120000,177.01,1.4751,0,20.0,5,1,0.03192
Austin,TX,ERCOT,970000,1512.31,1.5591,0,37.39,5,2,0.04159
Indianapolis,IN,MISO,890000,1161.76,1.3054,0,45.08,5,2,0.05121
Sacramento,CA,CAISO,525000,800.89,1.5255,0,37.93,5,2,0.0395
Santa Clara,CA,CAISO,130000,199.69,1.536,1,41.98,5,2,0.06061
Minneapolis,MN,MISO,430000,572.9,1.3323,1,41.03,5,2,0.05554
Los Angeles,CA,CAISO,3900000,5967.69,1.5302,1,44.45,5,2,0.06388
Hartford,CT,ISONE,120000,172.78,1.4399,0,47.13,5,2,0.04382
Sacramento,CA,CAISO,525000,786.9,1.4989,0,37.51,5,2,0.036
Boston,MA,ISONE,675000,979.95,1.4518,1,42.24,5,2,0.05956
Philadelphia,PA,PJM,1600000,2432.97,1.5206,0,49.57,5,2,0.05011
Manassas,VA,PJM,42000,57.37,1.366,1,38.86,5,2,0.0555
Cleveland,OH,PJM,370000,519.38,1.4037,0,30.54,5,2,0.03726
Providence,RI,ISONE,190000,272.24,1.4328,0,36.91,5,2,0.04015
San Diego,CA,CAISO,1400000,2309.34,1.6495,0,30.12,5,2,0.0398
Baltimore,MD,PJM,580000,905.59,1.5614,0,20.0,5,1,0.02853
Philadelphia,PA,PJM,1600000,2293.28,1.4333,0,20.0,5,1,0.0324
Los Angeles,CA,CAISO,3900000,5780.01,1.4821,1,40.82,5,2,0.05954
Boston,MA,ISONE,675000,934.6,1.3846,1,41.24,5,2,0.05745
Ashburn,VA,PJM,50000,67.53,1.3507,1,39.68,5,2,0.05867
Providence,RI,ISONE,190000,251.88,1.3257,0,44.5,5,2,0.04788
San Diego,CA,CAISO,1400000,2108.22,1.5059,0,55.65,5,3,0.05112
Indianapolis,IN,MISO,890000,1293.08,1.4529,0,41.81,5,2,0.04457
San Diego,CA,CAISO,1400000,2113.57,1.5097,0,32.72,5,2,0.03296
Manassas,VA,PJM,42000,62.45,1.4868,1,43.23,5,2,0.06278
Cleveland,OH,PJM,370000,554.62,1.499,0,45.0,5,2,0.04833
Richmond,VA,PJM,230000,301.26,1.3098,0,38.75,5,2,0.03761
