CountyName,StateName,Year,is_hub,Is_Post_Announcement,Avg_Home_Value,HomeValue_Pct_Change
Cuyahoga County,OH,2023,0,0,293031.73,3.8
Cuyahoga County,OH,2024,0,0,313205.95,6.88
Cuyahoga County,OH,2025,0,0,328038.84,4.74
Dallas County,AL,2000,1,0,62684.65,0.0
Dallas County,AR,2000,1,0,88741.85,41.57
Dallas County,TX,2000,1,0,170981.42,92.67
Dallas County,AL,2001,1,0,64805.87,-62.1
Dallas County,AR,2001,1,0,101108.85,56.02
Dallas County,TX,2001,1,0,174673.93,72.76
Dallas County,AL,2002,1,0,66442.26,-61.96
Dallas County,AR,2002,1,0,101550.21,52.84
Dallas County,TX,2002,1,0,178738.16,76.01
Dallas County,AL,2003,1,0,68663.37,-61.58
Dallas County,AR,2003,1,0,103714.1,51.05
Dallas County,TX,2003,1,0,182859.35,76.31
Dallas County,AL,2004,1,0,70827.98,-61.27
Dallas County,AR,2004,1,0,106055.69,49.74
Dallas County,TX,2004,1,0,193032.17,82.01
Dallas County,AL,2005,1,0,75565.59,-60.85
Dallas County,AR,2005,1,0,110055.14,45.64
Dallas County,TX,2005,1,0,198948.52,80.77
Dallas County,AL,2006,1,0,85538.92,-57.0
Dallas County,AR,2006,1,0,115628.9,35.18
Dallas County,IA,2006,1,0,164429.36,42.2
Dallas County,TX,2006,1,0,204090.13,24.12
Dallas County,AL,2007,1,0,86847.22,-57.45
Dallas County,AR,2007,1,0,117810.34,35.65
Dallas County,IA,2007,1,0,167328.58,42.03
Dallas County,TX,2007,1,0,209263.78,25.06
Dallas County,AL,2008,1,0,88726.31,-57.6
Dallas County,AR,2008,1,0,116900.97,31.75
Dallas County,IA,2008,1,0,167420.72,43.22
Dallas County,TX,2008,1,0,205725.49,22.88
Dallas County,AL,2009,1,0,93067.5,-54.76
Dallas County,AR,2009,1,0,110653.86,18.9
Dallas County,IA,2009,1,0,149387.43,35.0
Dallas County,TX,2009,1,0,194623.28,30.28
Dallas County,AL,2010,1,0,87644.15,-54.97
Dallas County,AR,2010,1,0,102251.69,16.67
Dallas County,IA,2010,1,0,142437.22,39.3
Dallas County,TX,2010,1,0,193704.42,35.99
Dallas County,AL,2011,1,0,85856.08,-55.68
Dallas County,AR,2011,1,0,100850.69,17.46
Dallas County,IA,2011,1,0,139585.82,38.41
Dallas County,MO,2011,1,0,89406.96,-35.95
Dallas County,TX,2011,1,0,185475.89,107.45
Dallas County,AL,2012,1,0,86493.24,-53.37
Dallas County,AR,2012,1,0,98283.25,13.63
Dallas County,IA,2012,1,0,143085.94,45.59
Dallas County,MO,2012,1,0,89500.43,-37.45
Dallas County,TX,2012,1,0,189649.93,111.9
Dallas County,AL,2013,1,0,92982.0,-50.97
Dallas County,AR,2013,1,0,99541.81,7.05
Dallas County,IA,2013,1,0,151118.79,51.81
Dallas County,MO,2013,1,0,93129.43,-38.37
Dallas County,TX,2013,1,0,208139.01,123.49
Dallas County,AL,2014,1,0,105546.1,-49.29
Dallas County,AR,2014,1,0,101307.6,-4.02
Dallas County,IA,2014,1,0,157374.28,55.34
Dallas County,MO,2014,1,0,98958.76,-37.12
Dallas County,TX,2014,1,0,228837.14,131.24
Dallas County,AL,2015,1,0,107923.76,-52.84
Dallas County,AR,2015,1,0,107258.73,-0.62
Dallas County,IA,2015,1,0,172262.71,60.6
Dallas County,MO,2015,1,0,108994.19,-36.73
Dallas County,TX,2015,1,0,250328.58,129.67
Dallas County,AL,2016,1,0,109279.92,-56.35
Dallas County,AR,2016,1,0,115079.6,5.31
Dallas County,IA,2016,1,0,173849.51,51.07
Dallas County,MO,2016,1,0,117650.87,-32.33
Dallas County,TX,2016,1,0,274046.84,132.93
Dallas County,AL,2017,1,0,114311.53,-58.29
Dallas County,AR,2017,1,0,116514.99,1.93
Dallas County,IA,2017,1,0,183197.23,57.23
Dallas County,MO,2017,1,0,128049.47,-30.1
Dallas County,TX,2017,1,0,293641.29,129.32
Dallas County,AL,2018,1,0,115561.79,-60.65
Dallas County,AR,2018,1,0,121994.03,5.57
Dallas County,IA,2018,1,0,192766.39,58.01
Dallas County,MO,2018,1,0,132483.11,-31.27
Dallas County,TX,2018,1,0,313221.66,136.42
Dallas County,AL,2019,1,0,114620.25,-63.41
Dallas County,AR,2019,1,0,122375.42,6.77
Dallas County,IA,2019,1,0,198122.93,61.9
Dallas County,MO,2019,1,0,140136.31,-29.27
Dallas County,TX,2019,1,0,323704.62,130.99
Dallas County,AL,2020,1,0,125036.99,-61.37
Dallas County,AR,2020,1,0,123761.87,-1.02
Dallas County,IA,2020,1,0,208513.55,68.48
Dallas County,MO,2020,1,0,152874.7,-26.68
Dallas County,TX,2020,1,0,336240.97,119.95
Dallas County,AL,2021,1,0,133507.63,-60.29
Dallas County,AR,2021,1,0,133787.77,0.21
Dallas County,IA,2021,1,0,227739.0,70.22
Dallas County,MO,2021,1,0,184920.06,-18.8
Dallas County,TX,2021,1,0,389419.56,110.59
Dallas County,AL,2022,1,0,138598.5,-64.41
Dallas County,AR,2022,1,0,137702.96,-0.65
Dallas County,IA,2022,1,0,254863.15,85.08
Dallas County,MO,2022,1,0,224956.77,-11.73
Dallas County,TX,2022,1,0,475748.61,111.48
Dallas County,AL,2023,1,0,132458.07,-72.16
Dallas County,AR,2023,1,0,124196.86,-6.24
Dallas County,IA,2023,1,0,262995.96,111.76
Dallas County,MO,2023,1,0,228834.52,-12.99
Dallas County,TX,2023,1,0,495879.47,116.7
Dallas County,AL,2024,1,1,114393.1,-76.93
Dallas County,AR,2024,1,1,114527.69,0.12
Dallas County,IA,2024,1,1,270338.31,136.05
Dallas County,MO,2024,1,1,237964.88,-11.98
Dallas County,TX,2024,1,1,519897.07,118.48
Dallas County,AL,2025,1,1,115023.67,-77.88
Dallas County,AR,2025,1,1,102730.56,-10.69
Dallas County,IA,2025,1,1,277138.53,169.77
Dallas County,MO,2025,1,1,242125.32,-12.63
Dallas County,TX,2025,1,1,520878.72,115.13
Harris County,GA,2000,0,0,110678.2,0.0
Harris County,TX,2000,0,0,134008.21,21.08
Harris County,GA,2001,0,0,119973.4,-10.47
Harris County,TX,2001,0,0,134597.05,12.19
Harris County,GA,2002,0,0,127324.95,-5.4
Harris County,TX,2002,0,0,137339.99,7.87
Harris County,GA,2003,0,0,131893.74,-3.97
Harris County,TX,2003,0,0,141050.85,6.94
Harris County,GA,2004,0,0,143730.89,1.9
Harris County,TX,2004,0,0,148220.53,3.12
Harris County,GA,2005,0,0,141737.91,-4.37
Harris County,TX,2005,0,0,155588.55,9.77
Harris County,GA,2006,0,0,148910.83,-4.29
Harris County,TX,2006,0,0,159204.3,6.91
Harris County,GA,2007,0,0,154702.93,-2.83
Harris County,TX,2007,0,0,165240.97,6.81
Harris County,GA,2008,0,0,154374.03,-6.58
Harris County,TX,2008,0,0,165568.77,7.25
Harris County,GA,2009,0,0,188948.12,14.12
Harris County,TX,2009,0,0,162565.79,-13.96
Harris County,GA,2010,0,0,168880.1,3.88
Harris County,TX,2010,0,0,162176.32,-3.97
Harris County,GA,2011,0,0,158186.56,-2.46
Harris County,TX,2011,0,0,155703.9,-1.57
Harris County,GA,2012,0,0,157235.49,0.98
Harris County,TX,2012,0,0,155342.74,-1.2
Harris County,GA,2013,0,0,159219.84,2.5
Harris County,TX,2013,0,0,163747.03,2.84
Harris County,GA,2014,0,0,161061.44,-1.64
Harris County,TX,2014,0,0,180443.38,12.03
Harris County,GA,2015,0,0,164092.98,-9.06
Harris County,TX,2015,0,0,199370.77,21.5
Harris County,GA,2016,0,0,166701.56,-16.39
Harris County,TX,2016,0,0,209440.74,25.64
Harris County,GA,2017,0,0,168921.87,-19.35
Harris County,TX,2017,0,0,217150.75,28.55
Harris County,GA,2018,0,0,179800.99,-17.2
Harris County,TX,2018,0,0,225768.73,25.57
Harris County,GA,2019,0,0,187471.66,-16.96
Harris County,TX,2019,0,0,234435.96,25.05
Harris County,GA,2020,0,0,203308.51,-13.28
Harris County,TX,2020,0,0,242969.27,19.51
Harris County,GA,2021,0,0,232870.14,-4.16
Harris County,TX,2021,0,0,271285.45,16.5
Harris County,GA,2022,0,0,262429.73,-3.26
Harris County,TX,2022,0,0,313323.28,19.39
Harris County,GA,2023,0,0,274072.78,-12.53
Harris County,TX,2023,0,0,319574.53,16.6
Harris County,GA,2024,0,0,289864.92,-9.3
Harris County,TX,2024,0,0,323898.25,11.74
Harris County,GA,2025,0,0,299041.26,-7.67
Harris County,TX,2025,0,0,320312.61,7.11
Hartford County,CT,2000,0,0,146639.85,0.0
Hartford County,CT,2001,0,0,157640.27,7.5
Hartford County,CT,2002,0,0,171832.98,9.0
Hartford County,CT,2003,0,0,190720.45,10.99
Hartford County,CT,2004,0,0,207789.3,8.95
Hartford County,CT,2005,0,0,228920.82,10.17
Hartford County,CT,2006,0,0,245539.44,7.26
Hartford County,CT,2007,0,0,248622.84,1.26
Hartford County,CT,2008,0,0,237373.16,-4.52
Hartford County,CT,2009,0,0,222969.41,-6.07
Hartford County,CT,2010,0,0,216025.4,-3.11
Hartford County,CT,2011,0,0,214916.55,-0.51
Hartford County,CT,2012,0,0,216938.5,0.94
Hartford County,CT,2013,0,0,223371.59,2.97
Hartford County,CT,2014,0,0,227063.8,1.65
Hartford County,CT,2015,0,0,228182.34,0.49
Hartford County,CT,2016,0,0,231344.55,1.39
Hartford County,CT,2017,0,0,236854.34,2.38
Hartford County,CT,2018,0,0,240841.34,1.68
Hartford County,CT,2019,0,0,242719.47,0.78
Hartford County,CT,2020,0,0,251959.11,3.81
Hartford County,CT,2021,0,0,284438.3,12.89
Hartford County,CT,2022,0,0,316288.02,11.2
Hartford County,CT,2023,0,0,344096.12,8.79
Hartford County,CT,2024,0,0,378744.48,10.07
Hartford County,CT,2025,0,0,396474.14,4.68
Hennepin County,MN,2000,0,0,220987.05,0.0
Hennepin County,MN,2001,0,0,254240.43,15.05
Hennepin County,MN,2002,0,0,282257.36,11.02
Hennepin County,MN,2003,0,0,309135.17,9.52
Hennepin County,MN,2004,0,0,337579.44,9.2
Hennepin County,MN,2005,0,0,365929.06,8.4
Hennepin County,MN,2006,0,0,383042.21,4.68
Hennepin County,MN,2007,0,0,383659.28,0.16
Hennepin County,MN,2008,0,0,357561.54,-6.8
Hennepin County,MN,2009,0,0,335566.41,-6.15
Hennepin County,MN,2010,0,0,323907.49,-3.47
Hennepin County,MN,2011,0,0,298917.24,-7.72
Hennepin County,MN,2012,0,0,292374.22,-2.19
Hennepin County,MN,2013,0,0,319510.32,9.28
Hennepin County,MN,2014,0,0,344248.23,7.74
Hennepin County,MN,2015,0,0,356860.87,3.66
Hennepin County,MN,2016,0,0,375794.78,5.31
Hennepin County,MN,2017,0,0,397748.16,5.84
Hennepin County,MN,2018,0,0,424460.69,6.72
Hennepin County,MN,2019,0,0,438014.17,3.19
Hennepin County,MN,2020,0,0,454522.39,3.77
Hennepin County,MN,2021,0,0,518216.64,14.01
Hennepin County,MN,2022,0,0,575825.13,11.12
Hennepin County,MN,2023,0,0,585244.54,1.64
Hennepin County,MN,2024,0,0,602100.99,2.88
Hennepin County,MN,2025,0,0,619345.03,2.86
Los Angeles County,CA,2000,1,0,268485.8,0.0
Los Angeles County,CA,2001,1,0,293599.9,9.35
Los Angeles County,CA,2002,1,0,329013.93,12.06
Los Angeles County,CA,2003,1,0,385362.17,17.13
Los Angeles County,CA,2004,1,0,471126.49,22.26
Los Angeles County,CA,2005,1,0,568351.24,20.64
Los Angeles County,CA,2006,1,0,642548.55,13.05
Los Angeles County,CA,2007,1,0,639511.41,-0.47
Los Angeles County,CA,2008,1,0,553079.39,-13.52
Los Angeles County,CA,2009,1,0,466921.37,-15.58
Los Angeles County,CA,2010,1,0,461489.53,-1.16
Los Angeles County,CA,2011,1,0,440120.15,-4.63
Los Angeles County,CA,2012,1,0,431045.05,-2.06
Los Angeles County,CA,2013,1,0,491703.61,14.07
Los Angeles County,CA,2014,1,0,559073.33,13.7
Los Angeles County,CA,2015,1,0,589892.49,5.51
Los Angeles County,CA,2016,1,0,600859.6,1.86
Los Angeles County,CA,2017,1,0,659054.08,9.69
Los Angeles County,CA,2018,1,0,748486.13,13.57
Los Angeles County,CA,2019,1,0,782266.14,4.51
Los Angeles County,CA,2020,1,0,815329.28,4.23
Los Angeles County,CA,2021,1,0,932872.23,14.42
Los Angeles County,CA,2022,1,0,1059291.39,13.55
Los Angeles County,CA,2023,1,1,1046989.03,-1.16
Los Angeles County,CA,2024,1,1,1096746.91,4.75
Los Angeles County,CA,2025,1,1,1098002.38,0.11
Loudoun County,VA,2000,1,0,276514.17,0.0
Loudoun County,VA,2001,1,0,323116.29,16.85
Loudoun County,VA,2002,1,0,359376.52,11.22
Loudoun County,VA,2003,1,0,399904.28,11.28
Loudoun County,VA,2004,1,0,473712.06,18.46
Loudoun County,VA,2005,1,0,581254.47,22.7
Loudoun County,VA,2006,1,0,633132.88,8.93
Loudoun County,VA,2007,1,1,591133.29,-6.63
Loudoun County,VA,2008,1,1,504068.33,-14.73
Loudoun County,VA,2009,1,1,448923.61,-10.94
Loudoun County,VA,2010,1,1,454662.79,1.28
Loudoun County,VA,2011,1,1,456221.37,0.34
Loudoun County,VA,2012,1,1,473226.13,3.73
Loudoun County,VA,2013,1,1,511972.91,8.19
Loudoun County,VA,2014,1,1,544205.18,6.3
Loudoun County,VA,2015,1,1,546938.02,0.5
Loudoun County,VA,2016,1,1,550471.97,0.65
Loudoun County,VA,2017,1,1,564619.34,2.57
Loudoun County,VA,2018,1,1,587777.87,4.1
Loudoun County,VA,2019,1,1,609328.99,3.67
Loudoun County,VA,2020,1,1,641369.41,5.26
Loudoun County,VA,2021,1,1,739945.64,15.37
Loudoun County,VA,2022,1,1,831562.15,12.38
Loudoun County,VA,2023,1,1,843905.49,1.48
Loudoun County,VA,2024,1,1,895226.18,6.08
Loudoun County,VA,2025,1,1,930765.38,3.97
Marion County,FL,2000,0,0,87772.38,0.0
Marion County,GA,2000,0,0,117519.2,33.89
Marion County,OR,2000,0,0,168013.04,42.97
Marion County,TN,2000,0,0,82221.77,-51.06
Marion County,FL,2001,0,0,95893.55,16.63
Marion County,GA,2001,0,0,116920.11,21.93
Marion County,OR,2001,0,0,172785.89,47.78
Marion County,TN,2001,0,0,83869.03,-51.46
Marion County,FL,2002,0,0,98491.17,17.43
Marion County,GA,2002,0,0,126530.27,28.47
Marion County,KY,2002,0,0,77062.74,-39.1
Marion County,OR,2002,0,0,177236.25,129.99
Marion County,TN,2002,0,0,86375.26,-51.27
Marion County,FL,2003,0,0,105389.04,22.01
Marion County,GA,2003,0,0,109328.13,3.74
Marion County,IN,2003,0,0,89825.88,-17.84
Marion County,KY,2003,0,0,77042.14,-14.23
Marion County,OR,2003,0,0,183819.02,138.6
Marion County,TN,2003,0,0,89279.03,-51.43
Marion County,WV,2003,0,0,88073.62,-1.35
Marion County,FL,2004,0,0,110896.21,25.91
Marion County,GA,2004,0,0,116945.36,5.45
Marion County,IN,2004,0,0,90026.95,-23.02
Marion County,KY,2004,0,0,79415.5,-11.79
Marion County,OR,2004,0,0,194003.25,144.29
Marion County,TN,2004,0,0,92459.12,-52.34
Marion County,WV,2004,0,0,82724.6,-10.53
Marion County,FL,2005,0,0,134915.99,63.09
Marion County,GA,2005,0,0,114197.98,-15.36
Marion County,IN,2005,0,0,94625.97,-17.14
Marion County,KY,2005,0,0,75631.15,-20.07
Marion County,OR,2005,0,0,207368.59,174.18
Marion County,TN,2005,0,0,98371.89,-52.56
Marion County,WV,2005,0,0,84656.49,-13.94
Marion County,FL,2006,0,0,173383.53,104.81
Marion County,GA,2006,0,0,119689.28,-30.97
Marion County,IN,2006,0,0,97306.51,-18.7
Marion County,KY,2006,0,0,71004.72,-27.03
Marion County,OR,2006,0,0,242952.51,242.16
Marion County,TN,2006,0,0,106295.51,-56.25
Marion County,WV,2006,0,0,89884.83,-15.44
Marion County,FL,2007,0,0,177907.13,97.93
Marion County,GA,2007,0,0,124623.84,-29.95
Marion County,IN,2007,0,0,98233.24,-21.18
Marion County,KY,2007,0,0,74567.52,-24.09
Marion County,OR,2007,0,0,267703.81,259.01
Marion County,TN,2007,0,0,111484.07,-58.36
Marion County,WV,2007,0,0,93935.75,-15.74
Marion County,FL,2008,0,0,158347.65,68.57
Marion County,GA,2008,0,0,121858.92,-23.04
Marion County,IN,2008,0,0,96489.15,-20.82
Marion County,KY,2008,0,0,74712.11,-22.57
Marion County,OR,2008,0,0,263131.69,252.19
Marion County,TN,2008,0,0,112519.01,-57.24
Marion County,WV,2008,0,0,96390.47,-14.33
Marion County,FL,2009,0,0,134112.72,39.13
Marion County,GA,2009,0,0,116576.12,-13.08
Marion County,IA,2009,0,0,105919.65,-9.14
Marion County,IN,2009,0,0,94267.78,-11.0
Marion County,KY,2009,0,0,90446.43,-4.05
Marion County,MO,2009,0,0,101038.87,11.71
Marion County,OH,2009,0,0,89267.69,-11.65
Marion County,OR,2009,0,0,241078.4,170.06
Marion County,TN,2009,0,0,109213.28,-54.7
Marion County,TX,2009,0,0,129325.22,18.42
Marion County,WV,2009,0,0,95325.35,-26.29
Marion County,FL,2010,0,0,119301.97,25.15
Marion County,GA,2010,0,0,111000.84,-6.96
Marion County,IA,2010,0,0,102576.68,-7.59
Marion County,IN,2010,0,0,96331.93,-6.09
Marion County,KY,2010,0,0,92018.17,-4.48
Marion County,MO,2010,0,0,99187.21,7.79
Marion County,OH,2010,0,0,86884.94,-12.4
Marion County,OR,2010,0,0,227454.52,161.79
Marion County,TN,2010,0,0,106843.82,-53.03
Marion County,TX,2010,0,0,129122.33,20.85
Marion County,WV,2010,0,0,93719.4,-27.42
Marion County,AL,2011,0,0,98219.96,4.8
Marion County,FL,2011,0,0,104716.68,6.61
Marion County,GA,2011,0,0,106598.0,1.8
Marion County,IA,2011,0,0,101650.48,-4.64
Marion County,IN,2011,0,0,90085.57,-11.38
Marion County,KY,2011,0,0,91781.55,1.88
Marion County,MO,2011,0,0,98156.6,6.95
Marion County,OH,2011,0,0,86571.66,-11.8
Marion County,OR,2011,0,0,207256.38,139.4
Marion County,TN,2011,0,0,105089.62,-49.29
Marion County,TX,2011,0,0,128025.44,21.83
Marion County,WV,2011,0,0,93360.27,-27.08
Marion County,AL,2012,0,0,100300.05,7.43
Marion County,FL,2012,0,0,97520.29,-2.77
Marion County,GA,2012,0,0,103304.97,5.93
Marion County,IA,2012,0,0,103044.55,-0.25
Marion County,IN,2012,0,0,89668.04,-12.98
Marion County,KS,2012,0,0,61881.22,-30.99
Marion County,KY,2012,0,0,96564.79,56.05
Marion County,MO,2012,0,0,99843.48,3.4
Marion County,MS,2012,0,0,105222.14,5.39
Marion County,OH,2012,0,0,87239.21,-17.09
Marion County,OR,2012,0,0,189096.15,116.76
Marion County,SC,2012,0,0,97972.7,-48.19
Marion County,TN,2012,0,0,107055.68,9.27
Marion County,TX,2012,0,0,130097.89,21.52
Marion County,WV,2012,0,0,96273.47,-26.0
Marion County,AL,2013,0,0,100517.18,4.41
Marion County,FL,2013,0,0,102867.24,2.34
Marion County,GA,2013,0,0,108479.56,5.46
Marion County,IA,2013,0,0,105573.93,-2.68
Marion County,IN,2013,0,0,91577.59,-13.26
Marion County,KS,2013,0,0,62928.68,-31.28
Marion County,KY,2013,0,0,96251.61,52.95
Marion County,MO,2013,0,0,99830.72,3.72
Marion County,MS,2013,0,0,103729.15,3.91
Marion County,OH,2013,0,0,87969.9,-15.19
Marion County,OR,2013,0,0,196394.85,123.25
Marion County,SC,2013,0,0,94995.25,-51.63
Marion County,TN,2013,0,0,110747.64,16.58
Marion County,TX,2013,0,0,132858.56,19.97
Marion County,WV,2013,0,0,96643.28,-27.26
Marion County,AL,2014,0,0,101796.85,5.33
Marion County,FL,2014,0,0,110532.2,8.58
Marion County,GA,2014,0,0,106788.9,-3.39
Marion County,IA,2014,0,0,112181.32,5.05
Marion County,IN,2014,0,0,97779.19,-12.84
Marion County,KS,2014,0,0,63257.93,-35.31
Marion County,KY,2014,0,0,99515.51,57.32
Marion County,MO,2014,0,0,101993.57,2.49
Marion County,MS,2014,0,0,107454.69,5.35
Marion County,OH,2014,0,0,87558.0,-18.52
Marion County,OR,2014,0,0,212029.66,142.16
Marion County,SC,2014,0,0,84464.15,-60.16
Marion County,TN,2014,0,0,116104.77,37.46
Marion County,TX,2014,0,0,137897.78,18.77
Marion County,WV,2014,0,0,88446.85,-35.86
Marion County,AL,2015,0,0,101180.99,14.4
Marion County,FL,2015,0,0,119577.5,18.18
Marion County,GA,2015,0,0,110718.68,-7.41
Marion County,IA,2015,0,0,119478.76,7.91
Marion County,IN,2015,0,0,102923.47,-13.86
Marion County,KS,2015,0,0,65343.83,-36.51
Marion County,KY,2015,0,0,102938.44,57.53
Marion County,MO,2015,0,0,111616.71,8.43
Marion County,MS,2015,0,0,115126.93,3.14
Marion County,OH,2015,0,0,90719.83,-21.2
Marion County,OR,2015,0,0,232768.27,156.58
Marion County,SC,2015,0,0,82641.39,-64.5
Marion County,TN,2015,0,0,121735.08,47.31
Marion County,TX,2015,0,0,140054.82,15.05
Marion County,WV,2015,0,0,96837.35,-30.86
Marion County,AL,2016,0,0,102583.93,5.93
Marion County,AR,2016,0,0,134566.14,31.18
Marion County,FL,2016,0,0,129760.62,-3.57
Marion County,GA,2016,0,0,117703.72,-9.29
Marion County,IA,2016,0,0,142549.01,21.11
Marion County,IL,2016,0,0,96756.14,-32.12
Marion County,IN,2016,0,0,108938.29,12.59
Marion County,KS,2016,0,0,67225.94,-38.29
Marion County,KY,2016,0,0,106967.39,59.12
Marion County,MO,2016,0,0,122604.75,14.62
Marion County,MS,2016,0,0,119112.2,-2.85
Marion County,OH,2016,0,0,97189.93,-18.4
Marion County,OR,2016,0,0,257993.01,165.45
Marion County,SC,2016,0,0,86599.65,-66.43
Marion County,TN,2016,0,0,129964.12,50.07
Marion County,TX,2016,0,0,135300.99,4.11
Marion County,WV,2016,0,0,100468.52,-25.74
Marion County,AL,2017,0,0,102681.29,2.2
Marion County,AR,2017,0,0,141511.05,37.82
Marion County,FL,2017,0,0,139977.73,-1.08
Marion County,GA,2017,0,0,118481.49,-15.36
Marion County,IA,2017,0,0,149227.06,25.95
Marion County,IL,2017,0,0,97212.63,-34.86
Marion County,IN,2017,0,0,117861.31,21.24
Marion County,KS,2017,0,0,66115.0,-43.9
Marion County,KY,2017,0,0,112639.71,70.37
Marion County,MO,2017,0,0,124400.66,10.44
Marion County,MS,2017,0,0,118481.37,-4.76
Marion County,OH,2017,0,0,102507.44,-13.48
Marion County,OR,2017,0,0,288443.96,181.39
Marion County,SC,2017,0,0,82351.33,-71.45
Marion County,TN,2017,0,0,135947.47,65.08
Marion County,TX,2017,0,0,132993.14,-2.17
Marion County,WV,2017,0,0,102860.76,-22.66
Marion County,AL,2018,0,0,104857.8,1.94
Marion County,AR,2018,0,0,146326.28,39.55
Marion County,FL,2018,0,0,153230.17,4.72
Marion County,GA,2018,0,0,121508.59,-20.7
Marion County,IA,2018,0,0,161178.38,32.65
Marion County,IL,2018,0,0,98937.79,-38.62
Marion County,IN,2018,0,0,129168.08,30.55
Marion County,KS,2018,0,0,68462.95,-47.0
Marion County,KY,2018,0,0,116393.29,70.01
Marion County,MO,2018,0,0,137155.12,17.84
Marion County,MS,2018,0,0,118213.16,-13.81
Marion County,OH,2018,0,0,111068.02,-6.04
Marion County,OR,2018,0,0,319272.19,187.46
Marion County,SC,2018,0,0,81024.58,-74.62
Marion County,TN,2018,0,0,140376.21,73.25
Marion County,TX,2018,0,0,138572.82,-1.28
Marion County,WV,2018,0,0,109908.98,-20.69
Marion County,AL,2019,0,0,112355.21,2.23
Marion County,AR,2019,0,0,151986.74,35.27
