State,Year,RegionID,RegionName,RegionType,StateName,Metro,CountyName,Date,Avg_Home_Value,HomeValue_Pct_Change,Company,Project,Location,AnnouncementDate,Is_Post_Announcement
AK,2015,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2015-12-31,300871.5204753373,4.746728922963794,,,,,0
AK,2016,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2016-12-31,309634.2600573727,2.912452321240444,,,,,0
AK,2017,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2017-12-31,317732.69389986194,2.6154837778573636,,,,,0
AK,2018,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2018-12-31,345982.3471246011,8.891012403540199,,,,,0
AK,2019,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2019-12-31,368016.5367524668,6.368587822756866,,,,,0
AK,2020,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2020-12-31,392243.09912930784,6.583009174160059,,,,,0
AK,2021,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2021-12-31,458561.5850768023,16.90749591126184,,,,,0
AK,2022,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2022-12-31,464886.97579023056,1.37939830096514,,,,,0
AK,2023,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2023-12-31,447737.6203361894,-3.6889300727107055,,,,,0
AK,2024,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2024-12-31,469738.8574019119,4.913868316270276,,,,,0
AK,2025,102287,Kachemak City,city,AK,"Fairbanks, AK",Kenai Peninsula Borough,2025-09-30,508747.79185939935,8.304387393719725,,,,,0
AL,2001,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2001-12-31,78834.99434862936,6.528313221826942,,,,,0
AL,2002,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2002-12-31,79785.20859280854,1.2053203682327762,,,,,0
AL,2003,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2003-12-31,83509.98166499243,4.668500763335248,,,,,0
AL,2004,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2004-12-31,87866.43793911331,5.216689295415233,,,,,0
AL,2005,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2005-12-31,93844.23964649982,6.803282171890013,,,,,0
AL,2006,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2006-12-31,93502.51525087775,-0.3641399801514677,,,,,0
AL,2007,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2007-12-31,92278.32808030868,-1.309255871122228,,,,,0
AL,2008,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2008-12-31,96562.71873103146,4.6429001693595096,,,,,0
AL,2009,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2009-12-31,88726.1871342841,-8.11548359421761,,,,,0
AL,2010,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2010-12-31,87538.0453226855,-1.3391106391176133,,,,,0
AL,2011,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2011-12-31,80308.2680407793,-8.259011559208995,,,,,0
AL,2012,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2012-12-31,91186.33437114324,13.54538778602501,,,,,0
AL,2013,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2013-12-31,103988.25902592024,14.03930176935404,,,,,0
AL,2014,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2014-12-31,100492.87010535072,-3.361330359130499,,,,,0
AL,2015,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2015-12-31,98578.14966972733,-1.9053296354419216,,,,,0
AL,2016,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2016-12-31,103175.81690054538,4.663982075360429,,,,,0
AL,2017,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2017-12-31,68651.75770551515,-33.461386817328645,,,,,0
AL,2018,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2018-12-31,72136.43868903602,5.075880210479933,,,,,0
AL,2019,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2019-12-31,74055.0297847175,2.659669829213618,,,,,0
AL,2020,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2020-12-31,80046.90715476872,8.091114658207532,,,,,0
AL,2021,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2021-12-31,79904.77918764665,-0.1775558509053532,,,,,0
AL,2022,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2022-12-31,78405.17113286762,-1.8767438819365043,,,,,0
AL,2023,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2023-12-31,163025.39461859714,107.92683985387865,,,,,0
AL,2024,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2024-12-31,174301.14355168154,6.916559815398293,,,,,0
AL,2025,23448,Allgood,city,AL,"Birmingham-Hoover, AL",Blount County,2025-09-30,165013.7715870346,-5.328348268634953,,,,,0
AR,2001,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2001-12-31,50524.12406561815,19.308572813671177,,,,,0
AR,2002,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2002-12-31,51390.03001984392,1.7138465440809547,,,,,0
AR,2003,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2003-12-31,53516.94730707512,4.1387741676934375,,,,,0
AR,2004,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2004-12-31,55082.104765779775,2.924601528042947,,,,,0
AR,2005,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2005-12-31,58376.4898781568,5.980862798154529,,,,,0
AR,2006,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2006-12-31,61312.70162499612,5.029784683813254,,,,,0
AR,2007,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2007-12-31,62299.53886917943,1.6095151869494284,,,,,0
AR,2008,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2008-12-31,63236.774310599816,1.504401891944096,,,,,0
AR,2009,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2009-12-31,63674.68793497416,0.6924983589824629,,,,,0
AR,2010,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2010-12-31,60997.17547545382,-4.204987172068542,,,,,0
AR,2011,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2011-12-31,133917.07361243083,119.54635205415548,,,,,0
AR,2012,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2012-12-31,122171.8968998611,-8.770484894675512,,,,,0
AR,2013,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2013-12-31,118911.79557802556,-2.6684543700812746,,,,,0
AR,2014,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2014-12-31,130586.56543469116,9.818008213495569,,,,,0
AR,2015,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2015-12-31,130516.36167169952,-0.0537603257716123,,,,,0
AR,2016,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2016-12-31,124835.52011841116,-4.352589576146726,,,,,0
AR,2017,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2017-12-31,125527.08304322358,0.5539792874307281,,,,,0
AR,2018,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2018-12-31,132242.65196683843,5.349896421398115,,,,,0
AR,2019,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2019-12-31,119812.31718095024,-9.399641190654028,,,,,0
AR,2020,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2020-12-31,132131.92894877374,10.2824250942559,,,,,0
AR,2021,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2021-12-31,122399.391147896,-7.365772889496636,,,,,0
AR,2022,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2022-12-31,119203.71303270028,-2.6108611204890497,,,,,0
AR,2023,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2023-12-31,110720.03382012575,-7.11695885701753,,,,,0
AR,2024,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2024-12-31,112094.84518283542,1.2417006347226645,,,,,0
AR,2025,17981,England,city,AR,"Little Rock-North Little Rock-Conway, AR",Lonoke County,2025-09-30,98245.56577271687,-12.354965464762714,,,,,0
AZ,2001,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2001-12-31,116257.2131520316,10.836518697538413,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2001,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2001-12-31,116257.2131520316,10.836518697538413,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2001,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2001-12-31,116257.2131520316,10.836518697538413,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2002,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2002-12-31,115568.8410826594,-0.5921112769768588,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2002,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2002-12-31,115568.8410826594,-0.5921112769768588,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2002,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2002-12-31,115568.8410826594,-0.5921112769768588,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2003,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2003-12-31,117335.84645032288,1.5289634741596505,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2003,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2003-12-31,117335.84645032288,1.5289634741596505,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2003,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2003-12-31,117335.84645032288,1.5289634741596505,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2004,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2004-12-31,140446.8563536091,19.6964615694581,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2004,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2004-12-31,140446.8563536091,19.6964615694581,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2004,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2004-12-31,140446.8563536091,19.6964615694581,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2005,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2005-12-31,196456.5392564799,39.87962732455388,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2005,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2005-12-31,196456.5392564799,39.87962732455388,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2005,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2005-12-31,196456.5392564799,39.87962732455388,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2006,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2006-12-31,232802.35756201952,18.50069152347689,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2006,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2006-12-31,232802.35756201952,18.50069152347689,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2006,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2006-12-31,232802.35756201952,18.50069152347689,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2007,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2007-12-31,194469.15173321113,-16.465986955736167,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2007,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2007-12-31,194469.15173321113,-16.465986955736167,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2007,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2007-12-31,194469.15173321113,-16.465986955736167,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2008,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2008-12-31,165508.24237137593,-14.89228965299656,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2008,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2008-12-31,165508.24237137593,-14.89228965299656,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2008,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2008-12-31,165508.24237137593,-14.89228965299656,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2009,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2009-12-31,132828.2453500346,-19.745238396050556,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2009,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2009-12-31,132828.2453500346,-19.745238396050556,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2009,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2009-12-31,132828.2453500346,-19.745238396050556,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2010,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2010-12-31,124363.7872252733,-6.3724835801718065,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2010,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2010-12-31,124363.7872252733,-6.3724835801718065,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2010,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2010-12-31,124363.7872252733,-6.3724835801718065,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2011,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2011-12-31,101380.14849382284,-18.48097363729987,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2011,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2011-12-31,101380.14849382284,-18.48097363729987,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2011,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2011-12-31,101380.14849382284,-18.48097363729987,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2012,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2012-12-31,187763.4816114763,85.20734522589191,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2012,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2012-12-31,187763.4816114763,85.20734522589191,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2012,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2012-12-31,187763.4816114763,85.20734522589191,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2013,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2013-12-31,197682.68198630455,5.282816599743945,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2013,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2013-12-31,197682.68198630455,5.282816599743945,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2013,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2013-12-31,197682.68198630455,5.282816599743945,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2014,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2014-12-31,212046.9367646715,7.266319251659126,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2014,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2014-12-31,212046.9367646715,7.266319251659126,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2014,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2014-12-31,212046.9367646715,7.266319251659126,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2015,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2015-12-31,232445.94710928484,9.620044814536532,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2015,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2015-12-31,232445.94710928484,9.620044814536532,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2015,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2015-12-31,232445.94710928484,9.620044814536532,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2016,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2016-12-31,255606.94841088433,9.964037484684685,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2016,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2016-12-31,255606.94841088433,9.964037484684685,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2016,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2016-12-31,255606.94841088433,9.964037484684685,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2017,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2017-12-31,282770.9189983807,10.62724263028667,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2017,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2017-12-31,282770.9189983807,10.62724263028667,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2017,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2017-12-31,282770.9189983807,10.62724263028667,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2018,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2018-12-31,303035.9781213152,7.166599449022737,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2018,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2018-12-31,303035.9781213152,7.166599449022737,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2018,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2018-12-31,303035.9781213152,7.166599449022737,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2019,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2019-12-31,322397.78495847055,6.389276599164795,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2019,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2019-12-31,322397.78495847055,6.389276599164795,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2019,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2019-12-31,322397.78495847055,6.389276599164795,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2020,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2020-12-31,359505.856800732,11.510026921258644,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2020,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2020-12-31,359505.856800732,11.510026921258644,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2020,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2020-12-31,359505.856800732,11.510026921258644,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2021,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2021-12-31,463446.088755664,28.91197180482772,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2021,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2021-12-31,463446.088755664,28.91197180482772,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2021,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2021-12-31,463446.088755664,28.91197180482772,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2022,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2022-12-31,491160.85388836503,5.980148674274965,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2022,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2022-12-31,491160.85388836503,5.980148674274965,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2022,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2022-12-31,491160.85388836503,5.980148674274965,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2023,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2023-12-31,271621.40513444296,-44.698075389334825,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2023,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2023-12-31,271621.40513444296,-44.698075389334825,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2023,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2023-12-31,271621.40513444296,-44.698075389334825,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2024,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2024-12-31,276125.9340798997,1.6583851126265703,Novva Data Centers,Project Borealis, Mesa,2025-06-15,0
AZ,2024,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2024-12-31,276125.9340798997,1.6583851126265703,NTT,Expansion, Phoenix,2025-06-15,0
AZ,2024,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2024-12-31,276125.9340798997,1.6583851126265703,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,0
AZ,2025,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2025-09-30,244413.9600998854,-11.484605415889016,Novva Data Centers,Project Borealis, Mesa,2025-06-15,1
AZ,2025,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2025-09-30,244413.9600998854,-11.484605415889016,NTT,Expansion, Phoenix,2025-06-15,1
AZ,2025,112003,Gisela,city,AZ,"Payson, AZ",Gila County,2025-09-30,244413.9600998854,-11.484605415889016,Edgecore Digital,Hyperscale Development, Metro Phoenix,2025-06-15,1
CA,2001,47855,Stirling City,city,CA,"Chico, CA",Butte County,2001-12-31,111937.14442842887,16.401675224704682,,,,,0
CA,2002,47855,Stirling City,city,CA,"Chico, CA",Butte County,2002-12-31,103901.86160399525,-7.178388251248702,,,,,0
CA,2003,47855,Stirling City,city,CA,"Chico, CA",Butte County,2003-12-31,111002.94923892798,6.8344180992611525,,,,,0
CA,2004,47855,Stirling City,city,CA,"Chico, CA",Butte County,2004-12-31,135648.95699548876,22.20302066345241,,,,,0
CA,2005,47855,Stirling City,city,CA,"Chico, CA",Butte County,2005-12-31,539266.3614689669,297.54552737689033,,,,,0
CA,2006,47855,Stirling City,city,CA,"Chico, CA",Butte County,2006-12-31,550018.8585814218,1.993912077728144,,,,,0
CA,2007,47855,Stirling City,city,CA,"Chico, CA",Butte County,2007-12-31,486712.335187272,-11.509882326112686,,,,,0
CA,2008,47855,Stirling City,city,CA,"Chico, CA",Butte County,2008-12-31,393504.74161227065,-19.150448188073543,,,,,0
CA,2009,47855,Stirling City,city,CA,"Chico, CA",Butte County,2009-12-31,362462.3242451597,-7.888702240263667,,,,,0
CA,2010,47855,Stirling City,city,CA,"Chico, CA",Butte County,2010-12-31,36259.538109397334,-89.99632908470996,,,,,0
CA,2011,47855,Stirling City,city,CA,"Chico, CA",Butte County,2011-12-31,37999.195739468305,4.797793134656914,,,,,0
CA,2012,47855,Stirling City,city,CA,"Chico, CA",Butte County,2012-12-31,41050.371941891426,8.029581003089437,,,,,0
CA,2013,47855,Stirling City,city,CA,"Chico, CA",Butte County,2013-12-31,44603.284219427005,8.65500629949194,,,,,0
CA,2014,47855,Stirling City,city,CA,"Chico, CA",Butte County,2014-12-31,48904.26014596445,9.64273371749642,,,,,0
CA,2015,47855,Stirling City,city,CA,"Chico, CA",Butte County,2015-12-31,62691.33625650807,28.19197360187713,,,,,0
CA,2016,47855,Stirling City,city,CA,"Chico, CA",Butte County,2016-12-31,76523.43947959696,22.063819419151343,,,,,0
CA,2017,47855,Stirling City,city,CA,"Chico, CA",Butte County,2017-12-31,80539.47968891158,5.248117748791725,,,,,0
CA,2018,47855,Stirling City,city,CA,"Chico, CA",Butte County,2018-12-31,105350.17499086952,30.805631471410912,,,,,0
CA,2019,47855,Stirling City,city,CA,"Chico, CA",Butte County,2019-12-31,133598.9880200067,26.81420608137144,,,,,0
CA,2020,47855,Stirling City,city,CA,"Chico, CA",Butte County,2020-12-31,141012.57475482087,5.54913390040348,,,,,0
CA,2021,47855,Stirling City,city,CA,"Chico, CA",Butte County,2021-12-31,142178.29368771636,0.8266772909595543,,,,,0
CA,2022,47855,Stirling City,city,CA,"Chico, CA",Butte County,2022-12-31,139961.97355032712,-1.5588315768208738,,,,,0
CA,2023,47855,Stirling City,city,CA,"Chico, CA",Butte County,2023-12-31,127705.8921958463,-8.756722303629005,,,,,0
CA,2024,47855,Stirling City,city,CA,"Chico, CA",Butte County,2024-12-31,126203.5267477536,-1.1764261008323065,,,,,0
CA,2025,47855,Stirling City,city,CA,"Chico, CA",Butte County,2025-09-30,137194.48850489632,8.708918078898575,,,,,0
CO,2001,52196,Georgetown,city,CO,"Denver-Aurora-Lakewood, CO",Clear Creek County,2001-12-31,299251.50438030454,8.831919058643557,,,,,0
CO,2002,52196,Georgetown,city,CO,"Denver-Aurora-Lakewood, CO",Clear Creek County,2002-12-31,299533.14173132175,0.0941139298866522,,,,,0
