CountyName,StateName,Year,Avg_Home_Value,HomeValue_Pct_Change
Dallas County,IA,2015,172262.71,60.6
Dallas County,MO,2015,108994.19,-36.73
Dallas County,TX,2015,250328.58,129.67
Dallas County,AL,2016,109279.92,-56.35
Dallas County,AR,2016,115079.6,5.31
Dallas County,IA,2016,173849.51,51.07
Dallas County,MO,2016,117650.87,-32.33
Dallas County,TX,2016,274046.84,132.93
Dallas County,AL,2017,114311.53,-58.29
Dallas County,AR,2017,116514.99,1.93
Dallas County,IA,2017,183197.23,57.23
Dallas County,MO,2017,128049.47,-30.1
Dallas County,TX,2017,293641.29,129.32
Dallas County,AL,2018,115561.79,-60.65
Dallas County,AR,2018,121994.03,5.57
Dallas County,IA,2018,192766.39,58.01
Dallas County,MO,2018,132483.11,-31.27
Dallas County,TX,2018,313221.66,136.42
Dallas County,AL,2019,114620.25,-63.41
Dallas County,AR,2019,122375.42,6.77
Dallas County,IA,2019,198122.93,61.9
Dallas County,MO,2019,140136.31,-29.27
Dallas County,TX,2019,323704.62,130.99
Dallas County,AL,2020,125036.99,-61.37
Dallas County,AR,2020,123761.87,-1.02
Dallas County,IA,2020,208513.55,68.48
Dallas County,MO,2020,152874.7,-26.68
Dallas County,TX,2020,336240.97,119.95
Dallas County,AL,2021,133507.63,-60.29
Dallas County,AR,2021,133787.77,0.21
Dallas County,IA,2021,227739.0,70.22
Dallas County,MO,2021,184920.06,-18.8
Dallas County,TX,2021,389419.56,110.59
Dallas County,AL,2022,138598.5,-64.41
Dallas County,AR,2022,137702.96,-0.65
Dallas County,IA,2022,254863.15,85.08
Dallas County,MO,2022,224956.77,-11.73
Dallas County,TX,2022,475748.61,111.48
Dallas County,AL,2023,132458.07,-72.16
Dallas County,AR,2023,124196.86,-6.24
Dallas County,IA,2023,262995.96,111.76
Dallas County,MO,2023,228834.52,-12.99
Dallas County,TX,2023,495879.47,116.7
Dallas County,AL,2024,114393.1,-76.93
Dallas County,AR,2024,114527.69,0.12
Dallas County,IA,2024,270338.31,136.05
Dallas County,MO,2024,237964.88,-11.98
Dallas County,TX,2024,519897.07,118.48
Dallas County,AL,2025,115023.67,-77.88
Dallas County,AR,2025,102730.56,-10.69
Dallas County,IA,2025,277138.53,169.77
Dallas County,MO,2025,242125.32,-12.63
Dallas County,TX,2025,520878.72,115.13
Harris County,GA,2000,110678.2,0.0
Harris County,TX,2000,134008.21,21.08
Harris County,GA,2001,119973.4,-10.47
Harris County,TX,2001,134597.05,12.19
Harris County,GA,2002,127324.95,-5.4
Harris County,TX,2002,137339.99,7.87
Harris County,GA,2003,131893.74,-3.97
Harris County,TX,2003,141050.85,6.94
Harris County,GA,2004,143730.89,1.9
Harris County,TX,2004,148220.53,3.12
Harris County,GA,2005,141737.91,-4.37
Harris County,TX,2005,155588.55,9.77
Harris County,GA,2006,148910.83,-4.29
Harris County,TX,2006,159204.3,6.91
Harris County,GA,2007,154702.93,-2.83
Harris County,TX,2007,165240.97,6.81
Harris County,GA,2008,154374.03,-6.58
Harris County,TX,2008,165568.77,7.25
Harris County,GA,2009,188948.12,14.12
Harris County,TX,2009,162565.79,-13.96
Harris County,GA,2010,168880.1,3.88
Harris County,TX,2010,162176.32,-3.97
Harris County,GA,2011,158186.56,-2.46
Harris County,TX,2011,155703.9,-1.57
Harris County,GA,2012,157235.49,0.98
Harris County,TX,2012,155342.74,-1.2
Harris County,GA,2013,159219.84,2.5
Harris County,TX,2013,163747.03,2.84
Harris County,GA,2014,161061.44,-1.64
Harris County,TX,2014,180443.38,12.03
Harris County,GA,2015,164092.98,-9.06
Harris County,TX,2015,199370.77,21.5
Harris County,GA,2016,166701.56,-16.39
Harris County,TX,2016,209440.74,25.64
Harris County,GA,2017,168921.87,-19.35
Harris County,TX,2017,217150.75,28.55
Harris County,GA,2018,179800.99,-17.2
Harris County,TX,2018,225768.73,25.57
Harris County,GA,2019,187471.66,-16.96
Harris County,TX,2019,234435.96,25.05
Harris County,GA,2020,203308.51,-13.28
Harris County,TX,2020,242969.27,19.51
Harris County,GA,2021,232870.14,-4.16
Harris County,TX,2021,271285.45,16.5
Harris County,GA,2022,262429.73,-3.26
Harris County,TX,2022,313323.28,19.39
Harris County,GA,2023,274072.78,-12.53
Harris County,TX,2023,319574.53,16.6
Harris County,GA,2024,289864.92,-9.3
Harris County,TX,2024,323898.25,11.74
Harris County,GA,2025,299041.26,-7.67
Harris County,TX,2025,320312.61,7.11
Hartford County,CT,2000,146639.85,0.0
Hartford County,CT,2001,157640.27,7.5
Hartford County,CT,2002,171832.98,9.0
Hartford County,CT,2003,190720.45,10.99
Hartford County,CT,2004,207789.3,8.95
Hartford County,CT,2005,228920.82,10.17
Hartford County,CT,2006,245539.44,7.26
Hartford County,CT,2007,248622.84,1.26
Hartford County,CT,2008,237373.16,-4.52
Hartford County,CT,2009,222969.41,-6.07
Hartford County,CT,2010,216025.4,-3.11
Hartford County,CT,2011,214916.55,-0.51
Hartford County,CT,2012,216938.5,0.94
Hartford County,CT,2013,223371.59,2.97
Hartford County,CT,2014,227063.8,1.65
Hartford County,CT,2015,228182.34,0.49
Hartford County,CT,2016,231344.55,1.39
Hartford County,CT,2017,236854.34,2.38
Hartford County,CT,2018,240841.34,1.68
Hartford County,CT,2019,242719.47,0.78
Hartford County,CT,2020,251959.11,3.81
Hartford County,CT,2021,284438.3,12.89
Hartford County,CT,2022,316288.02,11.2
Hartford County,CT,2023,344096.12,8.79
Hartford County,CT,2024,378744.48,10.07
Hartford County,CT,2025,396474.14,4.68
Hennepin County,MN,2000,220987.05,0.0
Hennepin County,MN,2001,254240.43,15.05
Hennepin County,MN,2002,282257.36,11.02
Hennepin County,MN,2003,309135.17,9.52
Hennepin County,MN,2004,337579.44,9.2
Hennepin County,MN,2005,365929.06,8.4
Hennepin County,MN,2006,383042.21,4.68
Hennepin County,MN,2007,383659.28,0.16
Hennepin County,MN,2008,357561.54,-6.8
Hennepin County,MN,2009,335566.41,-6.15
Hennepin County,MN,2010,323907.49,-3.47
Hennepin County,MN,2011,298917.24,-7.72
Hennepin County,MN,2012,292374.22,-2.19
Hennepin County,MN,2013,319510.32,9.28
Hennepin County,MN,2014,344248.23,7.74
Hennepin County,MN,2015,356860.87,3.66
Hennepin County,MN,2016,375794.78,5.31
Hennepin County,MN,2017,397748.16,5.84
Hennepin County,MN,2018,424460.69,6.72
Hennepin County,MN,2019,438014.17,3.19
Hennepin County,MN,2020,454522.39,3.77
Hennepin County,MN,2021,518216.64,14.01
Hennepin County,MN,2022,575825.13,11.12
Hennepin County,MN,2023,585244.54,1.64
Hennepin County,MN,2024,602100.99,2.88
Hennepin County,MN,2025,619345.03,2.86
Los Angeles County,CA,2000,268485.8,0.0
Los Angeles County,CA,2001,293599.9,9.35
Los Angeles County,CA,2002,329013.93,12.06
Los Angeles County,CA,2003,385362.17,17.13
Los Angeles County,CA,2004,471126.49,22.26
Los Angeles County,CA,2005,568351.24,20.64
Los Angeles County,CA,2006,642548.55,13.05
Los Angeles County,CA,2007,639511.41,-0.47
Los Angeles County,CA,2008,553079.39,-13.52
Los Angeles County,CA,2009,466921.37,-15.58
Los Angeles County,CA,2010,461489.53,-1.16
Los Angeles County,CA,2011,440120.15,-4.63
Los Angeles County,CA,2012,431045.05,-2.06
Los Angeles County,CA,2013,491703.61,14.07
Los Angeles County,CA,2014,559073.33,13.7
Los Angeles County,CA,2015,589892.49,5.51
Los Angeles County,CA,2016,600859.6,1.86
Los Angeles County,CA,2017,659054.08,9.69
Los Angeles County,CA,2018,748486.13,13.57
Los Angeles County,CA,2019,782266.14,4.51
Los Angeles County,CA,2020,815329.28,4.23
Los Angeles County,CA,2021,932872.23,14.42
Los Angeles County,CA,2022,1059291.39,13.55
Los Angeles County,CA,2023,1046989.03,-1.16
Los Angeles County,CA,2024,1096746.91,4.75
Los Angeles County,CA,2025,1098002.38,0.11
Loudoun County,VA,2000,276514.17,0.0
Loudoun County,VA,2001,323116.29,16.85
Loudoun County,VA,2002,359376.52,11.22
Loudoun County,VA,2003,399904.28,11.28
Loudoun County,VA,2004,473712.06,18.46
Loudoun County,VA,2005,581254.47,22.7
Loudoun County,VA,2006,633132.88,8.93
Loudoun County,VA,2007,591133.29,-6.63
Loudoun County,VA,2008,504068.33,-14.73
Loudoun County,VA,2009,448923.61,-10.94
Loudoun County,VA,2010,454662.79,1.28
Loudoun County,VA,2011,456221.37,0.34
Loudoun County,VA,2012,473226.13,3.73
Loudoun County,VA,2013,511972.91,8.19
Loudoun County,VA,2014,544205.18,6.3
Loudoun County,VA,2015,546938.02,0.5
Loudoun County,VA,2016,550471.97,0.65
Loudoun County,VA,2017,564619.34,2.57
Loudoun County,VA,2018,587777.87,4.1
Loudoun County,VA,2019,609328.99,3.67
Loudoun County,VA,2020,641369.41,5.26
Loudoun County,VA,2021,739945.64,15.37
Loudoun County,VA,2022,831562.15,12.38
Loudoun County,VA,2023,843905.49,1.48
Loudoun County,VA,2024,895226.18,6.08
Loudoun County,VA,2025,930765.38,3.97
Marion County,FL,2000,87772.38,0.0
Marion County,GA,2000,117519.2,33.89
Marion County,OR,2000,168013.04,42.97
Marion County,TN,2000,82221.77,-51.06
Marion County,FL,2001,95893.55,16.63
Marion County,GA,2001,116920.11,21.93
Marion County,OR,2001,172785.89,47.78
Marion County,TN,2001,83869.03,-51.46
Marion County,FL,2002,98491.17,17.43
Marion County,GA,2002,126530.27,28.47
Marion County,KY,2002,77062.74,-39.1
Marion County,OR,2002,177236.25,129.99
Marion County,TN,2002,86375.26,-51.27
Marion County,FL,2003,105389.04,22.01
Marion County,GA,2003,109328.13,3.74
Marion County,IN,2003,89825.88,-17.84
Marion County,KY,2003,77042.14,-14.23
Marion County,OR,2003,183819.02,138.6
Marion County,TN,2003,89279.03,-51.43
Marion County,WV,2003,88073.62,-1.35
Marion County,FL,2004,110896.21,25.91
Marion County,GA,2004,116945.36,5.45
Marion County,IN,2004,90026.95,-23.02
Marion County,KY,2004,79415.5,-11.79
Marion County,OR,2004,194003.25,144.29
Marion County,TN,2004,92459.12,-52.34
Marion County,WV,2004,82724.6,-10.53
Marion County,FL,2005,134915.99,63.09
Marion County,GA,2005,114197.98,-15.36
Marion County,IN,2005,94625.97,-17.14
Marion County,KY,2005,75631.15,-20.07
Marion County,OR,2005,207368.59,174.18
Marion County,TN,2005,98371.89,-52.56
Marion County,WV,2005,84656.49,-13.94
Marion County,FL,2006,173383.53,104.81
Marion County,GA,2006,119689.28,-30.97
Marion County,IN,2006,97306.51,-18.7
Marion County,KY,2006,71004.72,-27.03
Marion County,OR,2006,242952.51,242.16
Marion County,TN,2006,106295.51,-56.25
Marion County,WV,2006,89884.83,-15.44
Marion County,FL,2007,177907.13,97.93
Marion County,GA,2007,124623.84,-29.95
Marion County,IN,2007,98233.24,-21.18
Marion County,KY,2007,74567.52,-24.09
Marion County,OR,2007,267703.81,259.01
Marion County,TN,2007,111484.07,-58.36
Marion County,WV,2007,93935.75,-15.74
Marion County,FL,2008,158347.65,68.57
Marion County,GA,2008,121858.92,-23.04
Marion County,IN,2008,96489.15,-20.82
Marion County,KY,2008,74712.11,-22.57
Marion County,OR,2008,263131.69,252.19
Marion County,TN,2008,112519.01,-57.24
Marion County,WV,2008,96390.47,-14.33
Marion County,FL,2009,134112.72,39.13
Marion County,GA,2009,116576.12,-13.08
Marion County,IA,2009,105919.65,-9.14
Marion County,IN,2009,94267.78,-11.0
Marion County,KY,2009,90446.43,-4.05
Marion County,MO,2009,101038.87,11.71
Marion County,OH,2009,89267.69,-11.65
Marion County,OR,2009,241078.4,170.06
Marion County,TN,2009,109213.28,-54.7
Marion County,TX,2009,129325.22,18.42
Marion County,WV,2009,95325.35,-26.29
Marion County,FL,2010,119301.97,25.15
Marion County,GA,2010,111000.84,-6.96
Marion County,IA,2010,102576.68,-7.59
Marion County,IN,2010,96331.93,-6.09
Marion County,KY,2010,92018.17,-4.48
Marion County,MO,2010,99187.21,7.79
Marion County,OH,2010,86884.94,-12.4
Marion County,OR,2010,227454.52,161.79
Marion County,TN,2010,106843.82,-53.03
Marion County,TX,2010,129122.33,20.85
Marion County,WV,2010,93719.4,-27.42
Marion County,AL,2011,98219.96,4.8
Marion County,FL,2011,104716.68,6.61
Marion County,GA,2011,106598.0,1.8
Marion County,IA,2011,101650.48,-4.64
Marion County,IN,2011,90085.57,-11.38
Marion County,KY,2011,91781.55,1.88
Marion County,MO,2011,98156.6,6.95
Marion County,OH,2011,86571.66,-11.8
Marion County,OR,2011,207256.38,139.4
Marion County,TN,2011,105089.62,-49.29
Marion County,TX,2011,128025.44,21.83
Marion County,WV,2011,93360.27,-27.08
Marion County,AL,2012,100300.05,7.43
Marion County,FL,2012,97520.29,-2.77
Marion County,GA,2012,103304.97,5.93
Marion County,IA,2012,103044.55,-0.25
Marion County,IN,2012,89668.04,-12.98
Marion County,KS,2012,61881.22,-30.99
Marion County,KY,2012,96564.79,56.05
Marion County,MO,2012,99843.48,3.4
Marion County,MS,2012,105222.14,5.39
Marion County,OH,2012,87239.21,-17.09
Marion County,OR,2012,189096.15,116.76
Marion County,SC,2012,97972.7,-48.19
Marion County,TN,2012,107055.68,9.27
Marion County,TX,2012,130097.89,21.52
Marion County,WV,2012,96273.47,-26.0
Marion County,AL,2013,100517.18,4.41
Marion County,FL,2013,102867.24,2.34
Marion County,GA,2013,108479.56,5.46
Marion County,IA,2013,105573.93,-2.68
Marion County,IN,2013,91577.59,-13.26
Marion County,KS,2013,62928.68,-31.28
Marion County,KY,2013,96251.61,52.95
Marion County,MO,2013,99830.72,3.72
Marion County,MS,2013,103729.15,3.91
Marion County,OH,2013,87969.9,-15.19
Marion County,OR,2013,196394.85,123.25
Marion County,SC,2013,94995.25,-51.63
Marion County,TN,2013,110747.64,16.58
Marion County,TX,2013,132858.56,19.97
Marion County,WV,2013,96643.28,-27.26
Marion County,AL,2014,101796.85,5.33
Marion County,FL,2014,110532.2,8.58
Marion County,GA,2014,106788.9,-3.39
Marion County,IA,2014,112181.32,5.05
Marion County,IN,2014,97779.19,-12.84
Marion County,KS,2014,63257.93,-35.31
Marion County,KY,2014,99515.51,57.32
Marion County,MO,2014,101993.57,2.49
Marion County,MS,2014,107454.69,5.35
Marion County,OH,2014,87558.0,-18.52
Marion County,OR,2014,212029.66,142.16
Marion County,SC,2014,84464.15,-60.16
Marion County,TN,2014,116104.77,37.46
Marion County,TX,2014,137897.78,18.77
Marion County,WV,2014,88446.85,-35.86
Marion County,AL,2015,101180.99,14.4
Marion County,FL,2015,119577.5,18.18
Marion County,GA,2015,110718.68,-7.41
Marion County,IA,2015,119478.76,7.91
Marion County,IN,2015,102923.47,-13.86
Marion County,KS,2015,65343.83,-36.51
Marion County,KY,2015,102938.44,57.53
Marion County,MO,2015,111616.71,8.43
Marion County,MS,2015,115126.93,3.14
Marion County,OH,2015,90719.83,-21.2
Marion County,OR,2015,232768.27,156.58
Marion County,SC,2015,82641.39,-64.5
Marion County,TN,2015,121735.08,47.31
Marion County,TX,2015,140054.82,15.05
Marion County,WV,2015,96837.35,-30.86
Marion County,AL,2016,102583.93,5.93
Marion County,AR,2016,134566.14,31.18
Marion County,FL,2016,129760.62,-3.57
Marion County,GA,2016,117703.72,-9.29
Marion County,IA,2016,142549.01,21.11
Marion County,IL,2016,96756.14,-32.12
Marion County,IN,2016,108938.29,12.59
Marion County,KS,2016,67225.94,-38.29
Marion County,KY,2016,106967.39,59.12
Marion County,MO,2016,122604.75,14.62
Marion County,MS,2016,119112.2,-2.85
Marion County,OH,2016,97189.93,-18.4
Marion County,OR,2016,257993.01,165.45
Marion County,SC,2016,86599.65,-66.43
Marion County,TN,2016,129964.12,50.07
Marion County,TX,2016,135300.99,4.11
Marion County,WV,2016,100468.52,-25.74
Marion County,AL,2017,102681.29,2.2
Marion County,AR,2017,141511.05,37.82
Marion County,FL,2017,139977.73,-1.08
Marion County,GA,2017,118481.49,-15.36
Marion County,IA,2017,149227.06,25.95
Marion County,IL,2017,97212.63,-34.86
Marion County,IN,2017,117861.31,21.24
Marion County,KS,2017,66115.0,-43.9
Marion County,KY,2017,112639.71,70.37
Marion County,MO,2017,124400.66,10.44
Marion County,MS,2017,118481.37,-4.76
Marion County,OH,2017,102507.44,-13.48
Marion County,OR,2017,288443.96,181.39
Marion County,SC,2017,82351.33,-71.45
Marion County,TN,2017,135947.47,65.08
Marion County,TX,2017,132993.14,-2.17
Marion County,WV,2017,102860.76,-22.66
Marion County,AL,2018,104857.8,1.94
Marion County,AR,2018,146326.28,39.55
Marion County,FL,2018,153230.17,4.72
Marion County,GA,2018,121508.59,-20.7
Marion County,IA,2018,161178.38,32.65
Marion County,IL,2018,98937.79,-38.62
Marion County,IN,2018,129168.08,30.55
Marion County,KS,2018,68462.95,-47.0
Marion County,KY,2018,116393.29,70.01
Marion County,MO,2018,137155.12,17.84
Marion County,MS,2018,118213.16,-13.81
Marion County,OH,2018,111068.02,-6.04
Marion County,OR,2018,319272.19,187.46
Marion County,SC,2018,81024.58,-74.62
Marion County,TN,2018,140376.21,73.25
Marion County,TX,2018,138572.82,-1.28
Marion County,WV,2018,109908.98,-20.69
Marion County,AL,2019,112355.21,2.23
Marion County,AR,2019,151986.74,35.27
Marion County,FL,2019,165174.01,8.68
Marion County,GA,2019,128275.56,-22.34
Marion County,IA,2019,157342.14,22.66
Marion County,IL,2019,95621.5,-39.23
Marion County,IN,2019,140298.0,46.72
Marion County,KS,2019,72659.89,-48.21
Marion County,KY,2019,125680.38,72.97
Marion County,MO,2019,143404.23,14.1
Marion County,MS,2019,120962.57,-15.65
Marion County,OH,2019,123035.62,1.71
Marion County,OR,2019,342046.06,178.01
Marion County,SC,2019,87627.22,-74.38
Marion County,TN,2019,152963.97,74.56
Marion County,TX,2019,138766.24,-9.28
Marion County,WV,2019,100067.91,-27.89
Marion County,AL,2020,121470.65,21.39
Marion County,AR,2020,164565.24,35.48
Marion County,FL,2020,179236.83,8.92
Marion County,GA,2020,136960.41,-23.59
Marion County,IA,2020,173688.44,26.82
Marion County,IL,2020,107035.52,-38.37
Marion County,IN,2020,154355.76,44.21
Marion County,KS,2020,81911.83,-46.93
Marion County,KY,2020,133933.65,63.51
Marion County,MO,2020,152119.9,13.58
Marion County,MS,2020,126244.7,-17.01
Marion County,OH,2020,132429.74,4.9
Marion County,OR,2020,367280.72,177.34
Marion County,SC,2020,96334.06,-73.77
Marion County,TN,2020,165284.88,71.57
Marion County,TX,2020,142464.91,-13.81
Marion County,WV,2020,105749.53,-25.77
Marion County,AL,2021,131964.49,24.79
Marion County,AR,2021,191614.35,45.2
Marion County,FL,2021,215238.39,12.33
Marion County,GA,2021,156083.71,-27.48
Marion County,IA,2021,193473.95,23.96
Marion County,IL,2021,113933.72,-41.11
Marion County,IN,2021,181186.4,59.03
Marion County,KS,2021,94586.95,-47.8
Marion County,KY,2021,153629.74,62.42
Marion County,MO,2021,175727.63,14.38
Marion County,MS,2021,143508.81,-18.33
Marion County,OH,2021,154378.35,7.57
Marion County,OR,2021,432384.14,180.08
Marion County,SC,2021,105902.86,-75.51
Marion County,TN,2021,185613.65,75.27
Marion County,TX,2021,157145.06,-15.34
Marion County,WV,2021,120472.81,-23.34
Marion County,AL,2022,151342.07,25.62
Marion County,AR,2022,215312.93,42.27
Marion County,FL,2022,268951.44,24.91
Marion County,GA,2022,168266.78,-37.44
Marion County,IA,2022,213728.26,27.02
Marion County,IL,2022,121861.8,-42.98
Marion County,IN,2022,210013.06,72.34
Marion County,KS,2022,108027.64,-48.56
Marion County,KY,2022,180151.7,66.76
Marion County,MO,2022,200011.72,11.02
Marion County,MS,2022,154843.26,-22.58
Marion County,OH,2022,171329.14,10.65
Marion County,OR,2022,487110.69,184.31
Marion County,SC,2022,116126.08,-76.16
Marion County,TN,2022,218377.09,88.05
Marion County,TX,2022,174899.93,-19.91
Marion County,WV,2022,129826.52,-25.77
Marion County,AL,2023,161608.78,24.48
Marion County,AR,2023,221836.85,37.27
Marion County,FL,2023,282772.52,27.47
Marion County,GA,2023,163111.44,-42.32
Marion County,IA,2023,217176.38,33.15
Marion County,IL,2023,125864.04,-42.05
Marion County,IN,2023,218453.51,73.56
Marion County,KS,2023,112826.65,-48.35
Marion County,KY,2023,187058.14,65.79
Marion County,MO,2023,200559.73,7.22
Marion County,MS,2023,147202.76,-26.6
Marion County,OH,2023,177116.48,20.32
Marion County,OR,2023,482968.51,172.68
Marion County,SC,2023,112954.31,-76.61
Marion County,TN,2023,230071.81,103.69
Marion County,TX,2023,164686.19,-28.42
Marion County,WV,2023,131882.17,-19.92
Marion County,AL,2024,157657.94,19.54
Marion County,AR,2024,227258.13,44.15
Marion County,FL,2024,290767.62,27.95
Marion County,GA,2024,180084.54,-38.07
Marion County,IA,2024,226966.06,26.03
Marion County,IL,2024,124378.86,-45.2
Marion County,IN,2024,224564.17,80.55
Marion County,KS,2024,119937.03,-46.59
Marion County,KY,2024,198487.06,65.49
Marion County,MO,2024,216290.48,8.97
Marion County,MS,2024,147470.03,-31.82
Marion County,OH,2024,186913.59,26.75
Marion County,OR,2024,491927.04,163.18
Marion County,SC,2024,123362.41,-74.92
Marion County,TN,2024,240536.36,94.98
Marion County,TX,2024,170293.94,-29.2
Marion County,WV,2024,135115.62,-20.66
Marion County,AL,2025,158490.95,17.3
Marion County,AR,2025,229619.54,44.88
Marion County,FL,2025,288993.25,25.86
Marion County,GA,2025,177605.76,-38.54
Marion County,IA,2025,234681.65,32.14
Marion County,IL,2025,122012.9,-48.01
Marion County,IN,2025,230428.6,88.86
Marion County,KS,2025,120091.07,-47.88
Marion County,KY,2025,218207.76,81.7
